freq,sex,wstatus,unit,geo\TIME_PERIOD	2010 	2013 	2016 	2020 	2023 
A,T,FLF_D_R,PER,AT	370120 	337580 	318840 	287030 	281970 
A,T,FLF_D_R,PER,BE	85310 	74830 	70910 	67940 	: 
A,T,FLF_D_R,PER,BG	744490 	557670 	439740 	290720 	254910 i
A,T,FLF_D_R,PER,CH	174890 	: 	148900 	: 	: 
A,T,FLF_D_R,PER,CY	85940 	77380 	72910 	72350 	67320 
A,T,FLF_D_R,PER,CZ	135960 	132130 	130290 	124440 	127910 
A,T,FLF_D_R,PER,DE	781710 	706260 	653760 	648390 	617250 
A,T,FLF_D_R,PER,DK	80760 	79580 	73320 	80240 	: 
A,T,FLF_D_R,PER,EE	55000 	44220 	38380 	30600 	26890 
A,T,FLF_D_R,PER,EL	1277970 	1238490 	1198390 	1380870 	1225320 
A,T,FLF_D_R,PER,ES	2435310 	1782690 	1866210 	1729350 i	1676310 i
A,T,FLF_D_R,PER,EU27_2020	25861920 	21763920 	20046110 	17332680 i	: 
A,T,FLF_D_R,PER,FI	137300 	120020 	111860 	102270 	: 
A,T,FLF_D_R,PER,FR	1167040 	907080 	859750 	762160 	715900 
A,T,FLF_D_R,PER,HR	528910 	388370 	318060 	331610 	295650 
A,T,FLF_D_R,PER,HU	1145490 	1049840 	814420 	476290 	377250 
A,T,FLF_D_R,PER,IE	282940 	269510 	265180 	274960 	: 
A,T,FLF_D_R,PER,IS	6320 	: 	: 	2810 	: 
A,T,FLF_D_R,PER,IT	3472460 	2139060 	2045410 	1836570 	: 
A,T,FLF_D_R,PER,LT	372410 	297950 	255570 	240800 i	211480 i
A,T,FLF_D_R,PER,LU	5290 	4950 	4780 	4670 	4700 
A,T,FLF_D_R,PER,LV	184910 	173920 	162630 	155070 	: 
A,T,FLF_D_R,PER,ME	99010 	: 	: 	: 	: 
A,T,FLF_D_R,PER,MK	: 	443520 	: 	: 	: 
A,T,FLF_D_R,PER,MT	19320 	14870 	15420 	10280 	12420 
A,T,FLF_D_R,PER,NL	217730 	193140 	172660 	175750 	185550 
A,T,FLF_D_R,PER,NO	130400 	124900 	107670 	82890 	: 
A,T,FLF_D_R,PER,PL	3871190 	3558710 	3088250 	2714030 	: 
A,T,FLF_D_R,PER,PT	724230 	626390 	603720 	648040 	626800 
A,T,FLF_D_R,PER,RO	7224680 	6577930 	6061200 	4504470 	7352200 
A,T,FLF_D_R,PER,RS	1487430 	: 	: 	: 	: 
A,T,FLF_D_R,PER,SE	149940 	130710 	129280 	124360 	121330 
A,T,FLF_D_R,PER,SI	211930 	200630 	196040 	194740 i	: 
A,T,FLF_D_R,PER,SK	93590 	80020 	79180 	64690 	56450 
A,T,FLF_D_R,PER,UK	458710 	431260 	426610 	: 	: 
A,T,FLF_D_RFAMXHLD,PER,AT	189220 	173780 	165120 	156320 	138640 
A,T,FLF_D_RFAMXHLD,PER,BE	28020 	26550 	20120 	19570 	: 
A,T,FLF_D_RFAMXHLD,PER,BG	316680 	251810 	182280 	106170 	96650 i
A,T,FLF_D_RFAMXHLD,PER,CH	70530 	: 	59740 	: 	: 
A,T,FLF_D_RFAMXHLD,PER,CY	42770 	38170 	34000 	33160 	29560 
A,T,FLF_D_RFAMXHLD,PER,CZ	23340 	26080 	25060 	24060 	25850 
A,T,FLF_D_RFAMXHLD,PER,DE	288910 	249520 	204480 	199560 	175170 
A,T,FLF_D_RFAMXHLD,PER,DK	16760 	17210 	14510 	13430 	: 
A,T,FLF_D_RFAMXHLD,PER,EE	22710 	14640 	11850 	9560 	7270 
A,T,FLF_D_RFAMXHLD,PER,EL	528050 	504720 	480310 	822430 	715820 
A,T,FLF_D_RFAMXHLD,PER,ES	1205250 	643810 	730400 	383130 i	323570 i
A,T,FLF_D_RFAMXHLD,PER,EU27_2020	11927900 	9651580 	8126550 	6251780 i	: 
A,T,FLF_D_RFAMXHLD,PER,FI	53170 	48390 	42990 	36960 	: 
A,T,FLF_D_RFAMXHLD,PER,FR	165950 	137440 	116890 	59910 	54370 
A,T,FLF_D_RFAMXHLD,PER,HR	286200 	223420 	169910 	166200 	132200 
A,T,FLF_D_RFAMXHLD,PER,HU	487390 	478520 	282540 	155280 	101430 
A,T,FLF_D_RFAMXHLD,PER,IE	125890 	113180 	109770 	114260 	: 
A,T,FLF_D_RFAMXHLD,PER,IS	1960 	: 	: 	150 	: 
A,T,FLF_D_RFAMXHLD,PER,IT	1687530 	996880 	684310 	376610 	: 
A,T,FLF_D_RFAMXHLD,PER,LT	147030 	94250 	73070 	77310 i	66560 i
A,T,FLF_D_RFAMXHLD,PER,LU	2150 	1810 	1720 	1720 	1750 
A,T,FLF_D_RFAMXHLD,PER,LV	82780 	72470 	71460 	65660 	: 
A,T,FLF_D_RFAMXHLD,PER,ME	49380 	: 	: 	: 	: 
A,T,FLF_D_RFAMXHLD,PER,MK	: 	269260 	: 	: 	: 
A,T,FLF_D_RFAMXHLD,PER,MT	6060 	5120 	5720 	2700 	4220 
A,T,FLF_D_RFAMXHLD,PER,NL	81820 	70200 	66750 	65300 	64230 
A,T,FLF_D_RFAMXHLD,PER,NO	62830 	64010 	51540 	32370 	: 
A,T,FLF_D_RFAMXHLD,PER,PL	2294450 	2063940 	1573330 	1320350 	: 
A,T,FLF_D_RFAMXHLD,PER,PT	368260 	312340 	281320 	300590 	300030 
A,T,FLF_D_RFAMXHLD,PER,RO	3259600 	2890850 	2584320 	1557810 	4400490 
A,T,FLF_D_RFAMXHLD,PER,RS	833120 	: 	: 	: 	: 
A,T,FLF_D_RFAMXHLD,PER,SE	56450 	46780 	49420 	49710 	46820 
A,T,FLF_D_RFAMXHLD,PER,SI	137240 	131450 	127070 	122680 i	: 
A,T,FLF_D_RFAMXHLD,PER,SK	24220 	18270 	17840 	11330 	9100 
A,T,FLF_D_RFAMXHLD,PER,UK	164280 	147150 	151830 	: 	: 
A,T,FLF_D_RFAM_HLD,PER,AT	144770 	134890 	127300 	108470 	98820 
A,T,FLF_D_RFAM_HLD,PER,BE	38580 	32730 	30990 	29610 	: 
A,T,FLF_D_RFAM_HLD,PER,BG	364990 	247880 	192970 	123150 	98180 i
A,T,FLF_D_RFAM_HLD,PER,CH	52550 	: 	45300 	: 	: 
A,T,FLF_D_RFAM_HLD,PER,CY	38390 	34920 	34370 	33190 	31030 
A,T,FLF_D_RFAM_HLD,PER,CZ	19760 	23350 	23390 	24580 	27900 
A,T,FLF_D_RFAM_HLD,PER,DE	294070 	279760 	270630 	257390 	248560 
A,T,FLF_D_RFAM_HLD,PER,DK	39310 	36420 	33020 	33530 	: 
A,T,FLF_D_RFAM_HLD,PER,EE	17610 	16260 	13080 	7390 	6480 
A,T,FLF_D_RFAM_HLD,PER,EL	722400 	708700 	684250 	529730 	484030 
A,T,FLF_D_RFAM_HLD,PER,ES	861850 	793380 	784610 	790560 i	727100 i
A,T,FLF_D_RFAM_HLD,PER,EU27_2020	11669280 	10221680 	9860590 	8663090 i	: 
A,T,FLF_D_RFAM_HLD,PER,FI	62370 	52650 	48190 	43560 	: 
A,T,FLF_D_RFAM_HLD,PER,FR	402390 	353610 	339110 	275890 	242890 
A,T,FLF_D_RFAM_HLD,PER,HR	226160 	151490 	130260 	139500 	142140 
A,T,FLF_D_RFAM_HLD,PER,HU	563870 	479050 	420410 	223400 	180300 
A,T,FLF_D_RFAM_HLD,PER,IE	139630 	139100 	136880 	126580 	: 
A,T,FLF_D_RFAM_HLD,PER,IS	2090 	: 	: 	1710 	: 
A,T,FLF_D_RFAM_HLD,PER,IT	1603700 	995810 	1129370 	1110680 	: 
A,T,FLF_D_RFAM_HLD,PER,LT	196670 	169820 	148740 	129970 i	117940 i
A,T,FLF_D_RFAM_HLD,PER,LU	2120 	1980 	1890 	1800 	1800 
A,T,FLF_D_RFAM_HLD,PER,LV	82900 	81140 	69790 	67800 	: 
A,T,FLF_D_RFAM_HLD,PER,ME	48820 	: 	: 	: 	: 
A,T,FLF_D_RFAM_HLD,PER,MK	: 	170580 	: 	: 	: 
A,T,FLF_D_RFAM_HLD,PER,MT	12110 	9200 	9000 	7160 	7690 
A,T,FLF_D_RFAM_HLD,PER,NL	67960 	63110 	51570 	47980 	45270 
A,T,FLF_D_RFAM_HLD,PER,NO	46180 	42930 	40490 	37680 	: 
A,T,FLF_D_RFAM_HLD,PER,PL	1482590 	1416310 	1392440 	1276840 	: 
A,T,FLF_D_RFAM_HLD,PER,PT	297380 	253490 	246150 	274250 	243630 
A,T,FLF_D_RFAM_HLD,PER,RO	3828350 	3597280 	3395930 	2861670 	2834230 
A,T,FLF_D_RFAM_HLD,PER,RS	623220 	: 	: 	: 	: 
A,T,FLF_D_RFAM_HLD,PER,SE	65960 	61960 	57710 	53050 	50690 
A,T,FLF_D_RFAM_HLD,PER,SI	71210 	66550 	66090 	69310 i	: 
A,T,FLF_D_RFAM_HLD,PER,SK	22190 	20820 	22460 	16020 	13900 
A,T,FLF_D_RFAM_HLD,PER,UK	176430 	173970 	175240 	: 	: 
A,T,FLF_D_RNFAM,PER,AT	36120 	28910 	26420 	22240 	44510 
A,T,FLF_D_RNFAM,PER,BE	18710 	15550 	19800 	18760 	: 
A,T,FLF_D_RNFAM,PER,BG	62830 	57990 	64490 	61390 	60080 i
A,T,FLF_D_RNFAM,PER,CH	51800 	: 	43860 	: 	: 
A,T,FLF_D_RNFAM,PER,CY	4780 	4300 	4540 	5990 	6720 
A,T,FLF_D_RNFAM,PER,CZ	92860 	82710 	81840 	75790 	74160 
A,T,FLF_D_RNFAM,PER,DE	198730 	176970 	178640 	191450 	193510 
A,T,FLF_D_RNFAM,PER,DK	24690 	25950 	25780 	33280 	: 
A,T,FLF_D_RNFAM,PER,EE	14670 	13320 	13450 	13640 	13140 
A,T,FLF_D_RNFAM,PER,EL	27520 	25070 	33830 	28710 	25470 
A,T,FLF_D_RNFAM,PER,ES	368200 	345490 	351200 	555660 i	625640 i
A,T,FLF_D_RNFAM,PER,EU27_2020	2264740 	1890670 	2058960 	2417810 i	: 
A,T,FLF_D_RNFAM,PER,FI	21770 	18980 	20680 	21750 	: 
A,T,FLF_D_RNFAM,PER,FR	598700 	416030 	403750 	426350 	418640 
A,T,FLF_D_RNFAM,PER,HR	16540 	13460 	17890 	25910 	21310 
A,T,FLF_D_RNFAM,PER,HU	94230 	92260 	111460 	97610 	95520 
A,T,FLF_D_RNFAM,PER,IE	17420 	17240 	18530 	34110 	: 
A,T,FLF_D_RNFAM,PER,IS	2280 	: 	: 	950 	: 
A,T,FLF_D_RNFAM,PER,IT	181230 	146370 	231730 	349270 	: 
A,T,FLF_D_RNFAM,PER,LT	28700 	33880 	33760 	33520 i	26980 i
A,T,FLF_D_RNFAM,PER,LU	1020 	1160 	1170 	1150 	1140 
A,T,FLF_D_RNFAM,PER,LV	19240 	20310 	21380 	21610 	: 
A,T,FLF_D_RNFAM,PER,ME	800 	: 	: 	: 	: 
A,T,FLF_D_RNFAM,PER,MK	: 	3680 	: 	: 	: 
A,T,FLF_D_RNFAM,PER,MT	1150 	560 	710 	420 	510 
A,T,FLF_D_RNFAM,PER,NL	67950 	59820 	54340 	62460 	76060 
A,T,FLF_D_RNFAM,PER,NO	21390 	17960 	15640 	12850 	: 
A,T,FLF_D_RNFAM,PER,PL	94150 	78460 	122480 	116840 	: 
A,T,FLF_D_RNFAM,PER,PT	58590 	60560 	76250 	73200 	83140 
A,T,FLF_D_RNFAM,PER,RO	136740 	89800 	80960 	84990 	117480 
A,T,FLF_D_RNFAM,PER,RS	31100 	: 	: 	: 	: 
A,T,FLF_D_RNFAM,PER,SE	27530 	21970 	22150 	21600 	23820 
A,T,FLF_D_RNFAM,PER,SI	3480 	2630 	2870 	2750 i	: 
A,T,FLF_D_RNFAM,PER,SK	47190 	40920 	38880 	37350 	33450 
A,T,FLF_D_RNFAM,PER,UK	117990 	110140 	99540 	: 	: 
A,T,FLF_MANXGRP,PER,AT	145460 	136010 	124160 	108250 	99380 
A,T,FLF_MANXGRP,PER,BE	42850 	37760 	36890 	36000 	: 
A,T,FLF_MANXGRP,PER,BG	370490 	254370 	200980 	132710 	107620 i
A,T,FLF_MANXGRP,PER,CH	58260 	: 	51210 	: 	: 
A,T,FLF_MANXGRP,PER,CY	38860 	35380 	34950 	34050 	32020 
A,T,FLF_MANXGRP,PER,CZ	22860 	26250 	26530 	28910 	33170 
A,T,FLF_MANXGRP,PER,DE	278090 	261320 	250120 	235140 	224090 
A,T,FLF_MANXGRP,PER,DK	41360 	38280 	35050 	36690 	: 
A,T,FLF_MANXGRP,PER,EE	19610 	19190 	16700 	11370 	10710 
A,T,FLF_MANXGRP,PER,EL	723060 	709500 	684900 	530680 	485950 
A,T,FLF_MANXGRP,PER,ES	989800 	965000 	941650 	913420 i	798770 i
A,T,FLF_MANXGRP,PER,EU27_2020	11984040 	10577460 	10189280 	8977280 i	: 
A,T,FLF_MANXGRP,PER,FI	58680 	49750 	44940 	41480 	: 
A,T,FLF_MANXGRP,PER,FR	477530 	433290 	411720 	349410 	318990 
A,T,FLF_MANXGRP,PER,HR	233280 	157430 	134440 	143920 	146820 
A,T,FLF_MANXGRP,PER,HU	571660 	486760 	430000 	232090 	189180 
A,T,FLF_MANXGRP,PER,IE	139860 	139600 	137560 	121810 	: 
A,T,FLF_MANXGRP,PER,IS	2540 	: 	: 	2090 	: 
A,T,FLF_MANXGRP,PER,IT	1620880 	1010330 	1145710 	1130530 	: 
A,T,FLF_MANXGRP,PER,LT	199880 	171790 	150270 	132060 i	119600 i
A,T,FLF_MANXGRP,PER,LU	2110 	1970 	1900 	1840 	1810 
A,T,FLF_MANXGRP,PER,LV	81940 	80580 	69180 	68820 	: 
A,T,FLF_MANXGRP,PER,ME	48870 	: 	: 	: 	: 
A,T,FLF_MANXGRP,PER,MK	: 	170880 	: 	: 	: 
A,T,FLF_MANXGRP,PER,MT	12310 	9260 	9230 	7650 	7980 
A,T,FLF_MANXGRP,PER,NL	72320 	67480 	55680 	52640 	50560 
A,T,FLF_MANXGRP,PER,NO	44220 	41470 	39410 	37400 	: 
A,T,FLF_MANXGRP,PER,PL	1506620 	1429010 	1410660 	1301490 	: 
A,T,FLF_MANXGRP,PER,PT	305270 	264420 	258350 	290230 	261500 
A,T,FLF_MANXGRP,PER,RO	3859040 	3629660 	3419230 	2887070 	2859360 
A,T,FLF_MANXGRP,PER,RS	631550 	: 	: 	: 	: 
A,T,FLF_MANXGRP,PER,SE	71090 	67150 	62940 	58790 	56170 
A,T,FLF_MANXGRP,PER,SI	74650 	72380 	69900 	70610 i	: 
A,T,FLF_MANXGRP,PER,SK	24460 	23570 	25660 	19630 	17520 
A,T,FLF_MANXGRP,PER,UK	186420 	183040 	183810 	: 	: 
A,T,TOTAL,PER,AT	370120 	337580 	318840 	287030 	281970 
A,T,TOTAL,PER,BE	85310 	74830 	70910 	67940 	: 
A,T,TOTAL,PER,BG	744490 	557670 	439740 	290720 	254910 i
A,T,TOTAL,PER,CH	174890 	: 	148900 	: 	: 
A,T,TOTAL,PER,CY	85940 	77380 	72910 	72350 	67320 
A,T,TOTAL,PER,CZ	135960 	132130 	130290 	124440 	127910 
A,T,TOTAL,PER,DE	781710 	706260 	653760 	648390 	617250 
A,T,TOTAL,PER,DK	80760 	79580 	73320 	80240 	: 
A,T,TOTAL,PER,EE	55000 	44220 	38380 	30600 	26890 
A,T,TOTAL,PER,EL	1277970 	1238490 	1198390 	1380870 	1225320 
A,T,TOTAL,PER,ES	2435310 	1782690 	1866210 	1729350 i	1676310 i
A,T,TOTAL,PER,EU27_2020	25861920 	21763920 	20046110 	17332680 i	: 
A,T,TOTAL,PER,FI	137300 	120020 	111860 	102270 	: 
A,T,TOTAL,PER,FR	1167040 	907080 	859750 	762160 	715900 
A,T,TOTAL,PER,HR	528910 	388370 	318060 	331610 	295650 
A,T,TOTAL,PER,HU	1145490 	1049840 	814420 	476290 	377250 
A,T,TOTAL,PER,IE	282940 	269510 	265180 	274960 	: 
A,T,TOTAL,PER,IS	6320 	: 	: 	2810 	: 
A,T,TOTAL,PER,IT	3472460 	2139060 	2045410 	1836570 	: 
A,T,TOTAL,PER,LT	372410 	297950 	255570 	240800 i	211480 i
A,T,TOTAL,PER,LU	5290 	4950 	4780 	4670 	4700 
A,T,TOTAL,PER,LV	184910 	173920 	162630 	155070 	: 
A,T,TOTAL,PER,ME	99010 	: 	: 	: 	: 
A,T,TOTAL,PER,MK	: 	443520 	: 	: 	: 
A,T,TOTAL,PER,MT	19320 	14870 	15420 	10280 	12420 
A,T,TOTAL,PER,NL	217730 	193140 	172660 	175750 	185550 
A,T,TOTAL,PER,NO	130400 	124900 	107670 	82890 	: 
A,T,TOTAL,PER,PL	3871190 	3558710 	3088250 	2714030 	: 
A,T,TOTAL,PER,PT	724230 	626390 	603720 	648040 	626800 
A,T,TOTAL,PER,RO	7224680 	6577930 	6061200 	4504470 	7352200 
A,T,TOTAL,PER,RS	1487430 	: 	: 	: 	: 
A,T,TOTAL,PER,SE	149940 	130710 	129280 	124360 	121330 
A,T,TOTAL,PER,SI	211930 	200630 	196040 	194740 i	: 
A,T,TOTAL,PER,SK	93590 	80020 	79180 	64690 	56450 
A,T,TOTAL,PER,UK	458710 	431260 	426610 	: 	: 
